242846.000000 -144746863.038674 -392021128.776457 -807973685.231987 -77865411.267396 -487677223.504100 1684090723.908262
242847.000000 -nan -nan -nan -nan -nan -nan
242848.000000 -nan -nan -nan -nan -nan -nan
242849.000000 -nan -nan -nan -nan -nan -nan
242850.000000 -nan -nan -nan -nan -nan -nan
242851.000000 -nan -nan -nan -nan -nan -nan
242852.000000 -nan -nan -nan -nan -nan -nan
242853.000000 -nan -nan -nan -nan -nan -nan
242854.000000 -nan -nan -nan -nan -nan -nan
242855.000000 -nan -nan -nan -nan -nan -nan
242856.000000 -nan -nan -nan -nan -nan -nan
242857.000000 -nan -nan -nan -nan -nan -nan
242858.000000 -nan -nan -nan -nan -nan -nan
242859.000000 -nan -nan -nan -nan -nan -nan
242860.000000 -nan -nan -nan -nan -nan -nan
242861.000000 -nan -nan -nan -nan -nan -nan
242862.000000 -nan -nan -nan -nan -nan -nan
242863.000000 -nan -nan -nan -nan -nan -nan
242864.000000 -nan -nan -nan -nan -nan -nan
242865.000000 -nan -nan -nan -nan -nan -nan
242866.000000 -nan -nan -nan -nan -nan -nan
242867.000000 -nan -nan -nan -nan -nan -nan
242868.000000 -nan -nan -nan -nan -nan -nan
242869.000000 -nan -nan -nan -nan -nan -nan
242870.000000 -nan -nan -nan -nan -nan -nan
242871.000000 -nan -nan -nan -nan -nan -nan
242872.000000 -nan -nan -nan -nan -nan -nan
242873.000000 -nan -nan -nan -nan -nan -nan
242874.000000 -nan -nan -nan -nan -nan -nan
242875.000000 -nan -nan -nan -nan -nan -nan
242876.000000 -nan -nan -nan -nan -nan -nan
242877.000000 -nan -nan -nan -nan -nan -nan
242878.000000 -nan -nan -nan -nan -nan -nan
242879.000000 -nan -nan -nan -nan -nan -nan
242880.000000 -nan -nan -nan -nan -nan -nan
242881.000000 -nan -nan -nan -nan -nan -nan
242882.000000 -nan -nan -nan -nan -nan -nan
242883.000000 -nan -nan -nan -nan -nan -nan
242884.000000 -nan -nan -nan -nan -nan -nan
242885.000000 -nan -nan -nan -nan -nan -nan
242886.000000 -nan -nan -nan -nan -nan -nan
242887.000000 -nan -nan -nan -nan -nan -nan
242888.000000 -nan -nan -nan -nan -nan -nan
242889.000000 -nan -nan -nan -nan -nan -nan
242890.000000 -nan -nan -nan -nan -nan -nan
242891.000000 -nan -nan -nan -nan -nan -nan
242892.000000 -nan -nan -nan -nan -nan -nan
242893.000000 -nan -nan -nan -nan -nan -nan
242894.000000 -nan -nan -nan -nan -nan -nan
242895.000000 -nan -nan -nan -nan -nan -nan
242896.000000 -nan -nan -nan -nan -nan -nan
242897.000000 -nan -nan -nan -nan -nan -nan
242898.000000 -nan -nan -nan -nan -nan -nan
242899.000000 -nan -nan -nan -nan -nan -nan
242900.000000 -nan -nan -nan -nan -nan -nan
242901.000000 -nan -nan -nan -nan -nan -nan
242902.000000 -nan -nan -nan -nan -nan -nan
242903.000000 -nan -nan -nan -nan -nan -nan
242904.000000 -nan -nan -nan -nan -nan -nan
242905.000000 -nan -nan -nan -nan -nan -nan
242906.000000 -nan -nan -nan -nan -nan -nan
242907.000000 -nan -nan -nan -nan -nan -nan
242908.000000 -nan -nan -nan -nan -nan -nan
242909.000000 -nan -nan -nan -nan -nan -nan
242910.000000 -nan -nan -nan -nan -nan -nan
242911.000000 -nan -nan -nan -nan -nan -nan
242912.000000 -nan -nan -nan -nan -nan -nan
242913.000000 -nan -nan -nan -nan -nan -nan
242914.000000 -nan -nan -nan -nan -nan -nan
242915.000000 -nan -nan -nan -nan -nan -nan
242916.000000 -nan -nan -nan -nan -nan -nan
242917.000000 -nan -nan -nan -nan -nan -nan
242918.000000 -nan -nan -nan -nan -nan -nan
242919.000000 -nan -nan -nan -nan -nan -nan
242920.000000 -nan -nan -nan -nan -nan -nan
242921.000000 -nan -nan -nan -nan -nan -nan
242922.000000 -nan -nan -nan -nan -nan -nan
242923.000000 -nan -nan -nan -nan -nan -nan
242924.000000 -nan -nan -nan -nan -nan -nan
242925.000000 -nan -nan -nan -nan -nan -nan
242926.000000 -nan -nan -nan -nan -nan -nan
242927.000000 -nan -nan -nan -nan -nan -nan
242928.000000 -nan -nan -nan -nan -nan -nan
242929.000000 -nan -nan -nan -nan -nan -nan
242930.000000 -nan -nan -nan -nan -nan -nan
242931.000000 -nan -nan -nan -nan -nan -nan
242932.000000 -nan -nan -nan -nan -nan -nan
242933.000000 -nan -nan -nan -nan -nan -nan
242934.000000 -nan -nan -nan -nan -nan -nan
242935.000000 -nan -nan -nan -nan -nan -nan
242936.000000 -nan -nan -nan -nan -nan -nan
242937.000000 -
